id,user_id,from_account_id,datetime,amount,currency,category,receiver,description
1548,49,30,2025-10-18 09:59:27.203702,4282.43,USD,restaurants,CoffeeGo,cappuccino
1369,17,26,2025-10-18 09:57:12.919749,19143.14,RUB,transfer,,
2594,2,3,2025-10-18 09:55:32.792878,1047.47,USD,groceries,Magnum,rice
2329,32,161,2025-10-18 09:58:16.171798,3359.88,EUR,utilities,KEGOC,electricity bill
2348,69,88,2025-10-18 09:54:34.067763,1277.35,USD,restaurants,CoffeeGo,latte
803,18,149,2025-10-18 09:56:13.562955,378660.32,KZT,transport,Kaspi Red Transport,bus ticket
2516,33,63,2025-10-18 09:54:55.951487,25682.71,CNY,transfer,,
2950,83,142,2025-10-18 09:59:41.378992,1405.25,USD,clothes,Zara,belt
1471,29,176,2025-10-18 09:59:25.139934,2748.63,EUR,restaurants,CoffeeGo,latte
698,34,22,2025-10-18 09:54:55.471430,2009.78,EUR,transport,Yandex Go,taxi ride
2342,87,106,2025-10-18 09:56:54.221653,79246.65,RUB,clothes,LC Waikiki,boots
2785,37,136,2025-10-18 09:54:35.080749,171523.97,KZT,entertainment,Netflix,monthly subscription
1728,28,105,2025-10-18 09:56:46.872611,289995.38,KZT,restaurants,CoffeeGo,croissant
1741,75,9,2025-10-18 09:56:43.210940,1908.54,USD,restaurants,BurgerTime,burger
855,43,175,2025-10-18 09:54:32.336181,120244.38,RUB,restaurants,CoffeeGo,croissant
2642,81,156,2025-10-18 09:57:37.182795,428989.49,KZT,utilities,KEGOC,electricity bill
632,4,9,2025-10-18 09:59:05.105240,258124.61,RUB,utilities,KazWater,water bill
792,29,37,2025-10-18 09:56:34.569143,7778.68,CNY,utilities,KazWater,water bill
1957,44,58,2025-10-18 10:00:14.801150,62008.13,RUB,transport,Kaspi Red Transport,bus ticket
2837,43,186,2025-10-18 09:59:35.810406,1419.4,EUR,recurring,KEGOC,electricity bill
866,22,152,2025-10-18 09:55:38.412103,408991.19,KZT,restaurants,BurgerTime,fries
2276,35,70,2025-10-18 09:58:43.904825,351586.93,KZT,recurring,Spotify,music subscription
2958,72,157,2025-10-18 09:58:20.651721,266238.51,RUB,entertainment,Netflix,monthly subscription
2067,8,164,2025-10-18 09:56:20.007224,432651.04,KZT,entertainment,Spotify,premium subscription
601,46,56,2025-10-18 09:54:48.948626,8108.82,CNY,online_shopping,Kaspi.kz,TV
2858,67,27,2025-10-18 09:57:59.301176,4199.47,USD,transport,Kaspi Red Transport,bus ticket
1828,33,144,2025-10-18 09:56:27.005717,19265.9,CNY,online_shopping,Wildberries,headphones
863,20,190,2025-10-18 10:00:06.881781,7027.92,CNY,restaurants,BurgerTime,cola
